,senders,times
0,16,0.1
1,208,0.1
2,224,0.1
3,240,0.1
4,160,1.9000000000000001
5,256,1.8
6,272,1.7
7,304,2.0
8,80,2.7
9,16,4.5
10,144,4.8
11,208,4.7
12,240,5.0
13,32,5.7
14,48,5.6000000000000005
15,64,5.6000000000000005
16,224,5.3
17,288,5.9
18,112,6.1000000000000005
19,176,6.3
20,192,8.0
21,16,8.9
22,304,8.4
23,80,9.4
24,96,9.5
25,128,9.6
26,160,9.4
27,208,9.3
28,240,9.9
29,256,9.8
30,272,9.1
31,320,9.700000000000001
32,224,10.5
33,144,11.700000000000001
34,288,12.9
35,16,13.3
36,32,13.6
37,48,13.4
38,208,13.9
39,64,14.4
40,240,14.8
41,304,14.8
42,112,15.9
43,176,15.8
44,224,15.700000000000001
45,80,16.1
46,160,16.9
47,272,16.5
48,16,17.7
49,256,17.8
50,144,18.6
51,208,18.5
52,192,19.400000000000002
53,240,19.7
54,288,19.900000000000002
55,224,20.900000000000002
56,16,21.7
57,32,21.3
58,48,21.2
59,80,21.900000000000002
60,96,21.1
61,128,21.900000000000002
62,304,21.2
63,64,22.1
64,160,22.7
65,176,23.0
66,208,22.2
67,272,22.5
68,320,22.1
69,112,23.2
70,144,23.3
71,240,23.3
72,256,23.5
73,224,24.7
74,288,24.5
75,16,25.1
76,192,25.900000000000002
77,208,25.6
78,304,25.5
79,32,26.400000000000002
80,48,26.1
81,80,26.400000000000002
82,240,26.900000000000002
83,64,27.6
84,96,27.7
85,144,27.8
86,160,27.6
87,272,27.400000000000002
88,16,28.5
89,176,28.7
90,208,29.0
91,224,28.5
92,256,28.6
93,112,29.1
94,128,29.400000000000002
95,288,29.1
96,304,29.8
97,320,29.7
98,48,31.0
99,80,30.900000000000002
100,240,30.5
101,16,31.900000000000002
102,32,31.5
103,144,32.3
104,160,32.5
105,192,32.4
106,208,32.4
107,224,32.3
108,272,32.3
109,64,33.1
110,256,33.7
111,288,33.7
112,96,34.300000000000004
113,112,35.0
114,176,34.4
115,240,34.1
116,304,34.1
117,16,35.300000000000004
118,48,35.9
119,80,35.4
120,208,35.800000000000004
121,32,36.6
122,128,36.9
123,144,36.800000000000004
124,224,36.1
125,160,37.4
126,240,37.7
127,272,37.2
128,320,37.300000000000004
129,16,38.7
130,64,38.6
131,192,38.9
132,256,38.800000000000004
133,288,38.300000000000004
134,304,38.4
135,80,39.9
136,208,39.2
137,224,39.9
138,48,40.800000000000004
139,96,40.9
140,112,40.9
141,176,40.1
142,240,42.4
143,16,45.9
144,208,48.9
145,224,53.1
146,240,53.2
147,16,54.300000000000004
148,208,58.6
149,272,61.0
150,304,60.2
151,16,61.4
152,32,61.4
153,64,62.0
154,80,61.300000000000004
155,144,61.2
156,160,61.4
157,224,61.7
158,240,61.5
159,256,61.800000000000004
160,288,61.4
161,48,62.1
162,112,62.7
163,176,62.6
164,208,62.4
165,96,63.300000000000004
166,128,63.4
167,192,63.1
168,320,63.800000000000004
169,16,64.8
170,304,64.5
171,80,65.8
172,144,65.7
173,208,65.9
174,224,65.5
175,240,65.1
176,272,65.9
177,288,66.0
178,32,66.5
179,48,67.0
180,160,66.3
181,256,66.9
182,64,67.5
183,16,68.2
184,112,68.60000000000001
185,176,68.3
186,240,68.7
187,304,68.8
188,96,69.9
189,192,69.7
190,208,69.4
191,224,69.3
192,80,70.3
193,128,70.9
194,144,70.2
195,272,70.8
196,288,70.60000000000001
197,16,71.60000000000001
198,32,71.60000000000001
199,48,71.9
200,160,71.2
